match_id,season,team,playing_xi
1359507,2023,Chennai Super Kings,"['Akash Singh', 'RD Gaikwad', 'DP Conway', 'AM Rahane', 'S Dube', 'RA Jadeja', 'MS Dhoni', 'MM Ali', 'AT Rayudu', 'M Pathirana', 'TU Deshpande', 'M Theekshana']"
1359507,2023,Kolkata Knight Riders,"['Suyash Sharma', 'N Jagadeesan', 'SP Narine', 'VR Iyer', 'N Rana', 'JJ Roy', 'RK Singh', 'AD Russell', 'D Wiese', 'UT Yadav', 'CV Varun', 'K Khejroliya']"
392217,2009,Chennai Super Kings,"['M Vijay', 'ML Hayden', 'SK Raina', 'S Badrinath', 'JDP Oram', 'MS Dhoni', 'JA Morkel', 'S Tyagi', 'SB Jakati', 'L Balaji', 'M Muralitharan']"
392217,2009,Rajasthan Royals,"['GC Smith', 'NV Ojha', 'SA Asnodkar', 'RA Jadeja', 'YK Pathan', 'LA Carseldine', 'AS Raut', 'SK Warne', 'SM Harwood', 'A Singh', 'SK Trivedi']"
1254112,2021,Mumbai Indians,"['RG Sharma', 'Q de Kock', 'SA Yadav', 'SS Tiwary', 'KA Pollard', 'HH Pandya', 'KH Pandya', 'NM Coulter-Nile', 'J Yadav', 'JJ Bumrah', 'TA Boult']"
1254112,2021,Delhi Capitals,"['PP Shaw', 'S Dhawan', 'SPD Smith', 'RR Pant', 'SS Iyer', 'AR Patel', 'SO Hetmyer', 'R Ashwin', 'K Rabada', 'Avesh Khan', 'A Nortje']"
829817,2015,Chennai Super Kings,"['DR Smith', 'MEK Hussey', 'F du Plessis', 'SK Raina', 'MS Dhoni', 'DJ Bravo', 'RA Jadeja', 'P Negi', 'R Ashwin', 'MM Sharma', 'A Nehra']"
829817,2015,Mumbai Indians,"['LMP Simmons', 'PA Patel', 'RG Sharma', 'KA Pollard', 'HH Pandya', 'AT Rayudu', 'Harbhajan Singh', 'J Suchith', 'MJ McClenaghan', 'R Vinay Kumar', 'SL Malinga']"
336022,2007/08,Delhi Daredevils,"['G Gambhir', 'V Sehwag', 'S Dhawan', 'TM Dilshan', 'MF Maharoof', 'Shoaib Malik', 'PJ Sangwan', 'KD Karthik', 'A Mishra', 'R Bhatia', 'GD McGrath']"
336022,2007/08,Kings XI Punjab,"['SE Marsh', 'JR Hopes', 'Yuvraj Singh', 'LA Pomersbach', 'DPMD Jayawardene', 'IK Pathan', 'RR Powar', 'PP Chawla', 'U Kaul', 'S Sreesanth', 'VRV Singh']"
501258,2011,Kochi Tuskers Kerala,"['BB McCullum', 'DPMD Jayawardene', 'PA Patel', 'BJ Hodge', 'OA Shah', 'RA Jadeja', 'RP Singh', 'P Parameswaran', 'P Prasanth', 'S Sreesanth', 'Y Gnaneswara Rao']"
501258,2011,Rajasthan Royals,"['FY Fazal', 'R Dravid', 'SR Watson', 'AM Rahane', 'AL Menaria', 'PR Shah', 'JDP Oram', 'SK Warne', 'AA Chavan', 'SW Tait', 'ND Doshi']"
548372,2012,Delhi Daredevils,"['UBT Chand', 'DA Warner', 'Y Venugopal Rao', 'DPMD Jayawardene', 'LRPL Taylor', 'NV Ojha', 'AD Russell', 'IK Pathan', 'P Negi', 'UT Yadav', 'VR Aaron']"
548372,2012,Royal Challengers Bangalore,"['CH Gayle', 'TM Dilshan', 'V Kohli', 'AB de Villiers', 'SS Tiwary', 'MA Agarwal', 'R Vinay Kumar', 'Z Khan', 'HV Patel', 'P Parameswaran', 'M Muralitharan']"
1175358,2019,Delhi Capitals,"['PP Shaw', 'S Dhawan', 'SS Iyer', 'CA Ingram', 'RR Pant', 'KMA Paul', 'AR Patel', 'R Tewatia', 'K Rabada', 'TA Boult', 'I Sharma']"
1175358,2019,Mumbai Indians,"['RG Sharma', 'Q de Kock', 'SA Yadav', 'Yuvraj Singh', 'KA Pollard', 'HH Pandya', 'KH Pandya', 'BCJ Cutting', 'MJ McClenaghan', 'Rasikh Salam', 'JJ Bumrah']"
1304086,2022,Sunrisers Hyderabad,"['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'Shashank Singh', 'M Jansen', 'B Kumar', 'T Natarajan', 'Umran Malik']"
1304086,2022,Gujarat Titans,"['WP Saha', 'Shubman Gill', 'HH Pandya', 'DA Miller', 'R Tewatia', 'A Manohar', 'Rashid Khan', 'LH Ferguson', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']"
980919,2016,Kings XI Punjab,"['M Vijay', 'M Vohra', 'SE Marsh', 'DA Miller', 'GJ Maxwell', 'WP Saha', 'AR Patel', 'MM Sharma', 'KJ Abbott', 'P Sahu', 'Sandeep Sharma']"
980919,2016,Rising Pune Supergiants,"['AM Rahane', 'F du Plessis', 'KP Pietersen', 'NLTC Perera', 'SPD Smith', 'MS Dhoni', 'IK Pathan', 'R Ashwin', 'I Sharma', 'Ankit Sharma', 'M Ashwin']"
1304069,2022,Punjab Kings,"['MA Agarwal', 'S Dhawan', 'JM Bairstow', 'LS Livingstone', 'JM Sharma', 'M Shahrukh Khan', 'OF Smith', 'K Rabada', 'RD Chahar', 'VG Arora', 'Arshdeep Singh']"
1304069,2022,Mumbai Indians,"['RG Sharma', 'Ishan Kishan', 'D Brevis', 'Tilak Varma', 'SA Yadav', 'KA Pollard', 'JD Unadkat', 'M Ashwin', 'JJ Bumrah', 'TS Mills', 'Basil Thampi']"
335989,2007/08,Chennai Super Kings,"['PA Patel', 'ML Hayden', 'MEK Hussey', 'SK Raina', 'MS Dhoni', 'JDP Oram', 'S Badrinath', 'Joginder Sharma', 'P Amarnath', 'MS Gony', 'M Muralitharan']"
335989,2007/08,Mumbai Indians,"['L Ronchi', 'ST Jayasuriya', 'RV Uthappa', 'SM Pollock', 'DJ Bravo', 'AM Nayar', 'MA Khote', 'Harbhajan Singh', 'A Nehra', 'VS Yeligati', 'DS Kulkarni']"
729297,2014,Rajasthan Royals,"['AM Nayar', 'AM Rahane', 'SV Samson', 'SR Watson', 'STR Binny', 'SPD Smith', 'R Bhatia', 'JP Faulkner', 'TG Southee', 'DS Kulkarni', 'PV Tambe']"
729297,2014,Chennai Super Kings,"['DR Smith', 'BB McCullum', 'SK Raina', 'F du Plessis', 'MS Dhoni', 'RA Jadeja', 'M Manhas', 'R Ashwin', 'BW Hilfenhaus', 'IC Pandey', 'MM Sharma']"
392186,2009,Kings XI Punjab,"['RS Bopara', 'K Goel', 'IK Pathan', 'KC Sangakkara', 'Yuvraj Singh', 'DPMD Jayawardene', 'T Kohli', 'PP Chawla', 'VS Malik', 'VRV Singh', 'YA Abdulla']"
392186,2009,Kolkata Knight Riders,"['BB McCullum', 'CH Gayle', 'BJ Hodge', 'SC Ganguly', 'Yashpal Singh', 'A Chopra', 'MC Henriques', 'LR Shukla', 'I Sharma', 'M Kartik', 'AB Dinda']"
548325,2012,Mumbai Indians,"['RE Levi', 'DJ Jacobs', 'RG Sharma', 'AT Rayudu', 'KA Pollard', 'KD Karthik', 'Harbhajan Singh', 'CJ McKay', 'RP Singh', 'PP Ojha', 'MM Patel']"
548325,2012,Delhi Daredevils,"['NV Ojha', 'V Sehwag', 'KP Pietersen', 'DPMD Jayawardene', 'LRPL Taylor', 'IK Pathan', 'Y Nagar', 'AB Agarkar', 'M Morkel', 'UT Yadav', 'S Nadeem']"
1304090,2022,Rajasthan Royals,"['JC Buttler', 'D Padikkal', 'SV Samson', 'DJ Mitchell', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']"
1304090,2022,Mumbai Indians,"['RG Sharma', 'Ishan Kishan', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'TH David', 'DR Sams', 'HR Shokeen', 'K Kartikeya', 'JJ Bumrah', 'RP Meredith']"
729281,2014,Delhi Daredevils,"['MA Agarwal', 'M Vijay', 'KD Karthik', 'MK Tiwary', 'JP Duminy', 'LRPL Taylor', 'JDS Neesham', 'WD Parnell', 'S Nadeem', 'R Sharma', 'Mohammed Shami']"
729281,2014,Royal Challengers Bangalore,"['PA Patel', 'NJ Maddinson', 'V Kohli', 'Yuvraj Singh', 'AB de Villiers', 'JA Morkel', 'S Rana', 'AB Dinda', 'MA Starc', 'YS Chahal', 'VR Aaron']"
392190,2009,Kolkata Knight Riders,"['CH Gayle', 'BB McCullum', 'LR Shukla', 'BJ Hodge', 'SC Ganguly', 'SB Bangar', 'Yashpal Singh', 'AB Agarkar', 'I Sharma', 'BAW Mendis', 'Anureet Singh']"
392190,2009,Rajasthan Royals,"['GC Smith', 'PC Valthaty', 'RJ Quiney', 'YK Pathan', 'RA Jadeja', 'AD Mascarenhas', 'AS Raut', 'SK Warne', 'M Rawat', 'MM Patel', 'Kamran Khan']"
501219,2011,Kolkata Knight Riders,"['MS Bisla', 'JH Kallis', 'G Gambhir', 'MK Tiwary', 'EJG Morgan', 'Shakib Al Hasan', 'YK Pathan', 'R Bhatia', 'B Lee', 'Iqbal Abdulla', 'L Balaji']"
501219,2011,Kochi Tuskers Kerala,"['BB McCullum', 'DPMD Jayawardene', 'PA Patel', 'BJ Hodge', 'RA Jadeja', 'KM Jadhav', 'RV Gomez', 'R Vinay Kumar', 'RR Powar', 'RP Singh', 'M Muralitharan']"
829769,2015,Mumbai Indians,"['LMP Simmons', 'PA Patel', 'UBT Chand', 'RG Sharma', 'AT Rayudu', 'KA Pollard', 'Harbhajan Singh', 'J Suchith', 'R Vinay Kumar', 'MJ McClenaghan', 'SL Malinga']"
829769,2015,Rajasthan Royals,"['AM Rahane', 'SR Watson', 'SV Samson', 'SPD Smith', 'KK Nair', 'STR Binny', 'DJ Hooda', 'TG Southee', 'J Theron', 'DS Kulkarni', 'Ankit Sharma']"
548333,2012,Delhi Daredevils,"['DPMD Jayawardene', 'V Sehwag', 'KP Pietersen', 'IK Pathan', 'P Negi', 'LRPL Taylor', 'Y Nagar', 'NV Ojha', 'M Morkel', 'S Nadeem', 'UT Yadav']"
548333,2012,Pune Warriors,"['RV Uthappa', 'JD Ryder', 'SC Ganguly', 'SPD Smith', 'AD Mathews', 'MK Pandey', 'AC Thomas', 'M Manhas', 'M Kartik', 'R Sharma', 'A Nehra']"
392201,2009,Deccan Chargers,"['AC Gilchrist', 'HH Gibbs', 'AA Bilakhia', 'RG Sharma', 'TL Suman', 'DR Smith', 'Y Venugopal Rao', 'Shoaib Ahmed', 'RP Singh', 'PP Ojha', 'FH Edwards']"
392201,2009,Delhi Daredevils,"['G Gambhir', 'V Sehwag', 'AB de Villiers', 'TM Dilshan', 'KD Karthik', 'M Manhas', 'DL Vettori', 'A Mishra', 'PJ Sangwan', 'A Nehra', 'DP Nannes']"
1359511,2023,Rajasthan Royals,"['K Yadav', 'YBK Jaiswal', 'JC Buttler', 'SV Samson', 'SO Hetmyer', 'Dhruv Jurel', 'D Padikkal', 'R Ashwin', 'JO Holder', 'Sandeep Sharma', 'YS Chahal', 'A Zampa']"
1359511,2023,Chennai Super Kings,"['Akash Singh', 'RD Gaikwad', 'DP Conway', 'AM Rahane', 'S Dube', 'AT Rayudu', 'MM Ali', 'RA Jadeja', 'MS Dhoni', 'M Pathirana', 'TU Deshpande', 'M Theekshana']"
829801,2015,Delhi Daredevils,"['Q de Kock', 'SS Iyer', 'JP Duminy', 'Yuvraj Singh', 'JA Morkel', 'KM Jadhav', 'SS Tiwary', 'J Yadav', 'GS Sandhu', 'Z Khan', 'S Nadeem']"
829801,2015,Chennai Super Kings,"['DR Smith', 'BB McCullum', 'SK Raina', 'F du Plessis', 'MS Dhoni', 'DJ Bravo', 'P Negi', 'RA Jadeja', 'R Ashwin', 'MM Sharma', 'IC Pandey']"
1254104,2021,Chennai Super Kings,"['RD Gaikwad', 'F du Plessis', 'MM Ali', 'AT Rayudu', 'SK Raina', 'MS Dhoni', 'RA Jadeja', 'DJ Bravo', 'SN Thakur', 'DL Chahar', 'JR Hazlewood']"
1254104,2021,Mumbai Indians,"['Q de Kock', 'Anmolpreet Singh', 'SA Yadav', 'Ishan Kishan', 'SS Tiwary', 'KA Pollard', 'KH Pandya', 'AF Milne', 'RD Chahar', 'JJ Bumrah', 'TA Boult']"
336034,2007/08,Royal Challengers Bangalore,"['B Chipli', 'W Jaffer', 'V Kohli', 'JH Kallis', 'Misbah-ul-Haq', 'R Dravid', 'MV Boucher', 'P Kumar', 'Z Khan', 'DW Steyn', 'A Kumble']"
